facet,index,rank_within_facet,selected,selected_index_for_facet,group,relevance_mean,clarity_mean,decision_rule,wording_source,final_wording,question,edited_question,feedback,excel_row,clarity_response_count,relevance_response_count,clarity_std,relevance_std,clarity_ci,relevance_ci,clarity_median,relevance_median,clarity_rwg,relevance_rwg
F15,F15Q1,2,no,F15Q3,group2,3.35,3.4,,Edited Question,"In conversations—whether at work, school, or in daily life—people sometimes strongly disagree with us. In general, when this happens, how do you usually respond—do you hold firmly to your view, adjust it, or try to find common ground? Can you give an example that shows what feels most typical for you? If your response tends to differ across situations, you can describe what’s typical in each.","In conversations—whether at work, school, or in daily life—people sometimes strongly disagree with us. In general, when this happens, how do you usually respond—do you hold firmly to your view, adjust it, or try to find common ground?
Can you give an example that shows what feels most typical for you?","In conversations—whether at work, school, or in daily life—people sometimes strongly disagree with us. In general, when this happens, how do you usually respond—do you hold firmly to your view, adjust it, or try to find common ground? Can you give an example that shows what feels most typical for you? If your response tends to differ across situations, you can describe what’s typical in each.","- Personally I think ""—whether at work, school, or in daily life—"" is a bit unnecessary. The depth of the response is largely dependent on the example the person responding can come up with. Everything else in the prompt can be answered in one or two word answers.
 - Applies to all questions ""—"" is proper grammar, but is very commonly used in AI generated responses. To eliminate possible bias from participants, remove.
 - I feel as though the added context of the environments can cause people to change their answers. People don't normally behave in the same ways that they would with their friends versus their behavior at work.",31,20.0,20.0,0.8,0.65,"(3.05, 3.75)","(3.06, 3.64)",4.0,3.0,0.49,0.66
F16,F16Q1,1,yes,F16Q1,group2,3.5,3.65,Relevance tie; selected by higher clarity mean,Edited Question,"In daily life, we often face delays or situations that don’t go as planned—like waiting in a long line, a late appointment, or traffic jams. When this happens to you, what usually goes through your mind, how do you feel, and how do you tend to respond—do you stay calm or react in some way? Can you share an example that shows what feels most typical for you?","In daily life, we often face delays or situations that don’t go as planned—like waiting in a long line, a late appointment, or traffic jams. In general, when this happens, what usually goes through your mind, how do you feel, and how do you tend to respond—do you stay calm or react in some way?
Can you share an example that shows what feels most typical for you?","In daily life, we often face delays or situations that don’t go as planned—like waiting in a long line, a late appointment, or traffic jams. When this happens to you, what usually goes through your mind, how do you feel, and how do you tend to respond—do you stay calm or react in some way? Can you share an example that shows what feels most typical for you?","- Its clear that they want to know how we stay patient if we do.
 - instead of in general maybe start it as ""when this has happens to you""
 - Feels less about patience and more about temperament.",33,20.0,20.0,0.48,0.67,"(3.44, 3.86)","(3.21, 3.79)",4.0,4.0,0.82,0.64
F16,F16Q3,2,no,F16Q1,group2,3.5,3.6,,Question,"Everyday things like joining a meeting or uploading a file can get frustrating when the internet is slow or keeps cutting out. In general, when that happens, how do you usually react—do you stay calm, start to feel irritated, or show your frustration in some way?
What do you think best captures your typical response in moments like this?","Everyday things like joining a meeting or uploading a file can get frustrating when the internet is slow or keeps cutting out. In general, when that happens, how do you usually react—do you stay calm, start to feel irritated, or show your frustration in some way?
What do you think best captures your typical response in moments like this?",,"- Its clear on how they want to know on how we stay calm if we do with things we can't control.
 - instead of listing options of how they might feel and guiding their response simply ask how they feel instead.",34,20.0,20.0,0.66,0.74,"(3.31, 3.89)","(3.17, 3.83)",4.0,4.0,0.65,0.56
F17,F17Q1,1,yes,F17Q1,group1,3.57,3.71,Relevance tie; selected by higher clarity mean,Edited Question,"Some people like to return things to their proper place right after using them, while others naturally leave things out and tidy up later. And some people might feel comfortable with a bit of clutter or even see it as part of their style. In general, during a normal day or week, how do you usually keep track of and maintain order with your things—like notebooks, clothes, bags, or supplies? How do you feel when items are left out of place for a while? Can you share what feels most typical for you?","Some people like to return things to their proper place right after using them, while others leave things out and organize later. In general, during a normal day or week, do you usually put your things away right after using them—like notebooks, clothes, bags, or supplies—or organize them later? How do you usually feel when things are not where they belong?
Can you share what feels most typical for you?","Some people like to return things to their proper place right after using them, while others naturally leave things out and tidy up later. And some people might feel comfortable with a bit of clutter or even see it as part of their style. In general, during a normal day or week, how do you usually keep track of and maintain order with your things—like notebooks, clothes, bags, or supplies? How do you feel when items are left out of place for a while? Can you share what feels most typical for you?","- the word ""later"" can have multiple definitions
 - The question focuses more on the timing of a person's ability to be organized rather than just being organized. It wouldn't be fair to use time to judge an organization ability because other events may require immediate attention, preventing someone from being organized.
 - I think if someone organizes simply at a later time they can still be considered organized so that's why I placed this question at a 3. It can be more specific to how much later-like if it has to pile up versus an hour later after completing an errand. 
 - I think the question stays on track when asking about organization.",35,21.0,21.0,0.55,0.66,"(3.48, 3.95)","(3.29, 3.85)",4.0,4.0,0.76,0.65
F17,F17Q2,2,no,F17Q1,group1,3.57,3.67,,Question,"Before a busy period—like exams, deadlines, or intense work—people manage their space in different ways. When you have a lot going on, what does your room, desk, or bags usually look like? Do you tend to keep things tidy or let them pile up?
It may help to share what you typically do when life gets hectic.","Before a busy period—like exams, deadlines, or intense work—people manage their space in different ways. When you have a lot going on, what does your room, desk, or bags usually look like? Do you tend to keep things tidy or let them pile up?
It may help to share what you typically do when life gets hectic.",,"- I think this also stays on track with organization. 
 - I think it would help to softball it a little more and try to avoid a negative connotation when saying “let things pile up” although I know it’s a very difficult thing to do while keeping the question concise I believe it would lead to more honest answers if the participants don’t believe they’re admitting to “negative” qualities",36,21.0,21.0,0.64,0.58,"(3.39, 3.94)","(3.32, 3.82)",4.0,4.0,0.67,0.73
F18,F18Q1,1,yes,F18Q1,group1,3.57,3.71,Selected by higher relevance mean,Question,"Some people push themselves to do more than required, even when no one is checking, while others do only what’s needed. When you have a task—like a paper, project, or job—how do you usually decide how much effort to put in? What influences your choice, and how much effort do you typically give?
If it helps, you can share an example of a time when you had to decide how much effort to put into something.","Some people push themselves to do more than required, even when no one is checking, while others do only what’s needed. When you have a task—like a paper, project, or job—how do you usually decide how much effort to put in? What influences your choice, and how much effort do you typically give?
If it helps, you can share an example of a time when you had to decide how much effort to put into something.",,"- Some people could be very short about their answers to these questions... ex: #1 (how much effort to put in) - ""how I feel.""  Maybe give them examples and ask them to elaborate... ex: give a short list and make it mandatory to elaborate in the box below to be able to move to the next question.  I really like that they can share an example.
 - It's relevant to how hard someone works.",37,21.0,21.0,0.55,0.66,"(3.48, 3.95)","(3.29, 3.85)",4.0,4.0,0.76,0.65
F18,F18Q2,2,no,F18Q1,group1,3.33,3.76,,Edited Question,"Sometimes when you’re working on something important—like a school assignment, job task, or personal responsibility—you might notice something more enjoyable or easier competing for your attention. In general, how do you usually handle that—do you stay focused, take a break and come back to it, or shift to the more enjoyable thing? You may describe a situation that shows what’s most typical for you.","Sometimes when you’re working on something important—like a school assignment, job task, or personal responsibility—you might feel tempted to stop for something easier or more fun. In general, how do you usually respond in those moments—do you persist until you finish, or do you give in to the temptation?
If helpful, you may describe a situation that shows what’s most typical for you.","Sometimes when you’re working on something important—like a school assignment, job task, or personal responsibility—you might notice something more enjoyable or easier competing for your attention. In general, how do you usually handle that—do you stay focused, take a break and come back to it, or shift to the more enjoyable thing? You may describe a situation that shows what’s most typical for you.","- I think the wording of this question isn’t as good as the first one, I think people who take breaks but then get back to what they were doing would consider that doing something fun when that’s not necessarily what it’s asking.
 - Choices are built in to the question - that's helpful for them.
 - I think it's more so about distractions.
 - I feel people might not answer this honestly, the lack of or low diligence is portrayed too negatively",38,21.0,21.0,0.68,0.94,"(3.47, 4.05)","(2.93, 3.74)",4.0,4.0,0.63,0.29
F19,F19Q3,1,yes,F19Q3,group2,3.45,3.5,Selected by higher relevance mean,Edited Question,"In everyday tasks—like writing, formatting, or organizing—people sometimes notice small things that could be improved, such as spacing, punctuation, or alignment. When you notice these kinds of small flaws in your own work, what usually goes through your mind, and how do you usually feel and respond—do you feel a strong need to correct them, or are you comfortable letting small imperfections stay? Feel free to share what reflects your typical style.","In everyday tasks—like writing, formatting, or organizing—people sometimes notice small things that could be improved, such as spacing, punctuation, or alignment. How do you usually respond when you notice these kinds of small flaws in your own work? What goes through your mind in those moments, and how do you typically feel about what you see? What do you tend to do next—make corrections right away, plan to fix them later, or let them go?
Feel free to share what reflects your typical style.","In everyday tasks—like writing, formatting, or organizing—people sometimes notice small things that could be improved, such as spacing, punctuation, or alignment. When you notice these kinds of small flaws in your own work, what usually goes through your mind, and how do you usually feel and respond—do you feel a strong need to correct them, or are you comfortable letting small imperfections stay? Feel free to share what reflects your typical style.","- ""What do you tend to do next—make corrections right away, plan to fix them later, or let them go?"" This sentence is a bit unclear, considering we are measuring perfectionism. According to the definition, ""Low scorers tolerate some errors in their work and tend to neglect details, whereas high scorers check carefully for mistakes and potential improvements."" How does editing immediately versus later make a difference when the errors will be fixed in the end?
 - consider asking how open they are to others’ suggestions about these small flaws or changes.",40,20.0,20.0,0.59,0.59,"(3.24, 3.76)","(3.19, 3.71)",4.0,3.5,0.72,0.72
F19,F19Q2,2,no,F19Q3,group2,3.4,3.3,,Edited Question,"People differ in how they decide when their work is finished. Some feel it’s complete once the main idea or content is there, while others keep refining until it meets their own standard of precision—even for small details. When you’re working on something, how do you usually decide whether it’s finished or still needs more attention? What usually goes through your mind when you’re making that decision? You can describe an example that shows your usual approach.","People differ in how they decide when their work is finished. Some feel it’s complete once the main idea or content is there, while others keep refining until it meets their own standard of precision—even for small details. Which approach feels most natural to you? What kinds of thoughts usually go through your mind as you decide whether your work is “good enough” or still needs more attention?
If you’d like, you can describe an example that shows your usual approach.","People differ in how they decide when their work is finished. Some feel it’s complete once the main idea or content is there, while others keep refining until it meets their own standard of precision—even for small details. When you’re working on something, how do you usually decide whether it’s finished or still needs more attention? What usually goes through your mind when you’re making that decision? You can describe an example that shows your usual approach.","-  I don't think the question such as ""Which approach feels most natural to you?"" should be deleted or more clarified as the wording of the question can be a bit confusing for the reader undertesting the meaning of that question. 
 - I prefer question 3 I think.
 - The hypothetical questions would most likely do well to measure perfectionism; however, the last part of the question -- do you want them to answer with an example or not?",39,20.0,20.0,0.78,0.8,"(2.96, 3.64)","(3.05, 3.75)",3.5,4.0,0.51,0.49
F20,F20Q1,1,yes,F20Q1,group2,3.45,3.3,Selected by higher relevance mean,Edited Question,"Sometimes situations arise that might trigger a strong emotional response—such as feeling provoked, pressured, or taken by surprise. When situations like these happen, do you usually pause to think things through, or act quickly on your impulses? What kinds of thoughts and feelings typically guide your response in those moments? You might describe a situation that reflects how you usually respond.","Sometimes situations arise that might trigger a strong emotional response—such as feeling provoked, pressured, or taken by surprise. When situations like these happen, do you usually pause to think things through, or act quickly on your impulses? What kinds of thoughts and feelings typically guide your response in those moments, and how do you usually feel afterward about the way you handled it?
If it helps, you might describe a situation that reflects how you usually respond.","Sometimes situations arise that might trigger a strong emotional response—such as feeling provoked, pressured, or taken by surprise. When situations like these happen, do you usually pause to think things through, or act quickly on your impulses? What kinds of thoughts and feelings typically guide your response in those moments? You might describe a situation that reflects how you usually respond.","- Concern: ""..., and how do you usually feel afterward about the way you handled it?"" - How is this relavent to prudence?
 - Consider breaking into two shorter questions to improve focus and ease of response.",41,20.0,20.0,0.78,0.5,"(2.96, 3.64)","(3.23, 3.67)",3.5,3.0,0.51,0.8
F20,F20Q2,2,no,F20Q1,group2,3.25,3.53,,Question,"Sometimes we feel a strong urge to speak, act, or decide quickly—maybe because of frustration, excitement, or pressure—but we also have a chance to pause and think it through. When situations like these happen, how do you usually respond—do you tend to act right away, or take a moment to consider the consequences before deciding?
You could think of an example that shows what’s most typical for you, if one comes to mind.","Sometimes we feel a strong urge to speak, act, or decide quickly—maybe because of frustration, excitement, or pressure—but we also have a chance to pause and think it through. When situations like these happen, how do you usually respond—do you tend to act right away, or take a moment to consider the consequences before deciding?
You could think of an example that shows what’s most typical for you, if one comes to mind.",,"- giving the solution will make a response play more towards that desired quality. it would not be an honest assessment of this construct.
 - I think many people can interpret this question as having a ""right"" answer and just say what they think the interviewer wants to hear",42,19.0,20.0,0.68,0.7,"(3.22, 3.83)","(2.94, 3.56)",4.0,3.0,0.63,0.61
F21,F21Q1,1,yes,F21Q1,group1,3.81,3.86,Selected by higher relevance mean,Question,"When you’re in a natural setting—like on a hike, in a park, or looking at a scenic view—how do you usually respond? Do you tend to pause and appreciate it, talk about it, take a photo, or move on without much notice? How do those settings typically make you feel?
If you’d like, you can share an example that reflects what’s most typical for you.","When you’re in a natural setting—like on a hike, in a park, or looking at a scenic view—how do you usually respond? Do you tend to pause and appreciate it, talk about it, take a photo, or move on without much notice? How do those settings typically make you feel?
If you’d like, you can share an example that reflects what’s most typical for you.",,,43,21.0,21.0,0.35,0.5,"(3.71, 4.01)","(3.60, 4.02)",4.0,4.0,0.9,0.8
F21,F21Q2,2,no,F21Q1,group1,3.76,3.76,,Question,"People differ in how much they take notice of and enjoy beauty in art or in nature. In general, how do you usually respond when you encounter a painting, piece of music, or a natural scene that others might find beautiful? Do you tend to become absorbed and moved by it, or not pay much attention? What thoughts and feelings typically come up for you in those moments?
You might describe an example that shows how you usually respond.","People differ in how much they take notice of and enjoy beauty in art or in nature. In general, how do you usually respond when you encounter a painting, piece of music, or a natural scene that others might find beautiful? Do you tend to become absorbed and moved by it, or not pay much attention? What thoughts and feelings typically come up for you in those moments?
You might describe an example that shows how you usually respond.",,"- Forces them to elaborate, giving information.
 - I think it's relevant because it's asking about how one feels about the art.
 - I think having a middle ground between absorbed and not paying attention might allow people to be more honest.",44,21.0,21.0,0.53,0.43,"(3.54, 3.99)","(3.58, 3.94)",4.0,4.0,0.78,0.85
F22,F22Q2,1,yes,F22Q2,group1,3.76,3.86,Selected by higher relevance mean,Edited Question,"People often come across things they don’t fully understand—like a scientific idea, a piece of history, or how something works in daily life. In general, how do you usually react when you find something unfamiliar that catches your attention, such as looking into it, asking questions, or letting it go?
If it helps, you can describe an example that reflects your usual response.","People often come across things they don’t fully understand—like a scientific idea, a piece of history, or how something works in daily life. In general, how do you usually react when you find something unfamiliar that catches your attention—do you look into it, ask questions, or just let it go, etc?
If it helps, you can describe an example that reflects your usual response.","People often come across things they don’t fully understand—like a scientific idea, a piece of history, or how something works in daily life. In general, how do you usually react when you find something unfamiliar that catches your attention, such as looking into it, asking questions, or letting it go?
If it helps, you can describe an example that reflects your usual response.","- Same as above.  When you give them example responses, that's all the info you might get from them.
 - Still deals with seeking out information.",45,21.0,21.0,0.35,0.43,"(3.71, 4.01)","(3.58, 3.94)",4.0,4.0,0.9,0.85
F22,F22Q3,2,no,F22Q2,group1,3.67,3.86,,Question,"In everyday life, we sometimes encounter new things—like ideas we haven’t heard before, topics we haven’t studied, or places we haven’t visited. When situations like these happen, how do you usually react—do you feel curious and want to explore or learn more, or do you tend to stay with what’s familiar? Can you share an example that shows how you responded?","In everyday life, we sometimes encounter new things—like ideas we haven’t heard before, topics we haven’t studied, or places we haven’t visited. When situations like these happen, how do you usually react—do you feel curious and want to explore or learn more, or do you tend to stay with what’s familiar? Can you share an example that shows how you responded?",,"- These questions read as almost exactly the same. I think they are all clear and relevant, however there might be benefit to rewriting some of them to cover more facets of inquisitiveness. 
 - I feel as if this question is more vague compared to the first two.
 - This is better, but again, just say, ""share an example of...""",46,21.0,21.0,0.35,0.56,"(3.71, 4.01)","(3.43, 3.91)",4.0,4.0,0.9,0.75
F23,F23Q2,1,yes,F23Q2,group2,3.35,3.65,Relevance tie; selected by higher clarity mean,Question,"When people face a challenge, some stick with familiar solutions, while others try new approaches. When you face a challenge, how do you usually respond, and what tends to guide that choice?
Feel free to share an example if one comes to mind.","When people face a challenge, some stick with familiar solutions, while others try new approaches. When you face a challenge, how do you usually respond, and what tends to guide that choice?
Feel free to share an example if one comes to mind.",,"- This prompt, in my opinion, will lead to a less creative response. Although, it is very clear what it is asking, the response can be short. The optional ""feel free to share"" response limits many responses you might receive.",48,20.0,20.0,0.65,0.79,"(3.36, 3.94)","(3.00, 3.70)",4.0,3.5,0.66,0.5
F23,F23Q1,2,no,F23Q2,group2,3.35,3.63,,Question,"When you’re doing a task—at school, at work, or in daily life—you can either follow instructions or come up with your own way of doing it. In general, how do you usually approach such tasks? Do you prefer to follow standard methods, or do you feel interested in trying something different when possible? What thoughts and feelings typically guide your choice?
Can you share an example that shows how you usually handle this?","When you’re doing a task—at school, at work, or in daily life—you can either follow instructions or come up with your own way of doing it. In general, how do you usually approach such tasks? Do you prefer to follow standard methods, or do you feel interested in trying something different when possible? What thoughts and feelings typically guide your choice?
Can you share an example that shows how you usually handle this?",,"- Although the first part of the prompt can lend itself to a minimal word answer, the ""What thoughts and feelings typically guide your choice?"" question really opens this up to be a more creatively directed answer. 
 - Might be a tad too broad IMO",47,19.0,20.0,0.58,0.79,"(3.37, 3.89)","(3.00, 3.70)",4.0,3.5,0.73,0.5
F24,F24Q3,1,yes,F24Q3,group2,3.53,3.53,Selected by higher relevance mean,Question,"In conversations or media, we sometimes come across viewpoints or practices that challenge traditional norms or beliefs. How do you usually react when something like that happens? Do you feel open, curious, resistant, offended, or indifferent? What thoughts or emotions typically come up, and how do you tend to respond—by discussing, researching, or letting it go?
If it helps, you can share an example that shows what’s most typical for you.","In conversations or media, we sometimes come across viewpoints or practices that challenge traditional norms or beliefs. How do you usually react when something like that happens? Do you feel open, curious, resistant, offended, or indifferent? What thoughts or emotions typically come up, and how do you tend to respond—by discussing, researching, or letting it go?
If it helps, you can share an example that shows what’s most typical for you.",,,50,19.0,19.0,0.68,0.6,"(3.22, 3.83)","(3.26, 3.79)",4.0,4.0,0.63,0.72
F24,F24Q1,2,no,F24Q3,group2,3.47,3.58,,Question,"Sometimes people hear ideas that go strongly against common views—like unusual life choices, alternative beliefs, or unexpected theories. If someone shares an idea like that with you, how do you usually respond? Do you tend to feel curious, skeptical, uncomfortable, or something else, and what do you typically do?","Sometimes people hear ideas that go strongly against common views—like unusual life choices, alternative beliefs, or unexpected theories. If someone shares an idea like that with you, how do you usually respond? Do you tend to feel curious, skeptical, uncomfortable, or something else, and what do you typically do?",,"- I think the question should be a bit more direct and clearer about their question and add a little more the question such as ""If someone from a different cultural background came to you and share their religious holidays how would you respond?"" and other topics to add within the question to make the reader engage in more responses to different situations. 
 - the last part of the question is redundant because a response would usually be an action done. unless the question is asking about physical responses and/or verbal responses, which should made be clear. ""... what do you typically do about it?""0
 - would not give a list of potential feelings.",49,19.0,19.0,0.59,0.68,"(3.31, 3.84)","(3.17, 3.78)",4.0,4.0,0.72,0.63
